room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,property_type,last_modified,latitude,longitude,location
15500061,1438,51668331,Shared room,,New York,Brooklyn,Crown Heights,0,0.0,2,1.0,,40.0,,Cozy room in a cozy apartment,Apartment,2017-07-15 21:22:15.981127,40.671405,-73.930233,0101000020E61000003D2AFEEF887B52C079AF5A99F0554440
3585334,1438,10040649,Shared room,,New York,Brooklyn,Brownsville,17,5.0,2,1.0,,40.0,,Comfy Living Room - Sofa or Airbed,Apartment,2017-07-15 21:22:15.978251,40.667916,-73.925383,0101000020E61000008F519E79397B52C0D13C80457E554440
13522173,1438,61400101,Shared room,,New York,Manhattan,Inwood,0,0.0,1,1.0,,30.0,,"Close to all, spacious and comfy",Apartment,2017-07-15 21:22:15.974954,40.859222,-73.930983,0101000020E61000007288B839957B52C07A008BFCFA6D4440
10188121,1438,52321402,Shared room,,New York,Manhattan,Kips Bay,2,0.0,1,1.0,,25.0,,Cozy 1 BD W/ Convenient Location,Dorm,2017-07-15 21:22:13.784064,40.73711,-73.977314,0101000020E610000012FB04508C7E52C0FCC6D79E595E4440
4278389,1438,295128,Shared room,,New York,Bronx,Clason Point,2,0.0,1,1.0,,35.0,,Hamiltons Hideaway couch bed,House,2017-07-15 21:22:13.774899,40.812308,-73.855348,0101000020E6100000BDAC8905BE7652C0BC2363B5F9674440
6956630,1438,5330028,Shared room,,New York,Brooklyn,Williamsburg,43,5.0,2,1.0,,40.0,,The Cube! For Travelers & Wanderers,Other,2017-07-15 21:22:13.764371,40.71241,-73.951725,0101000020E61000004772F90FE97C52C0F3AB3940305B4440
10706099,1438,37057292,Shared room,,New York,Brooklyn,Bushwick,29,4.5,2,1.0,,25.0,,Comfy sofa bed in Bushwick!,Apartment,2017-07-15 21:22:13.757333,40.704759,-73.919681,0101000020E61000002A70B20DDC7A52C0E547FC8A355A4440
18126806,1438,35118978,Shared room,,New York,Manhattan,Harlem,0,0.0,2,1.0,,36.0,,living room sublet - simple & peace,Apartment,2017-07-15 21:22:13.751219,40.819831,-73.95682,0101000020E6100000280AF4893C7D52C09D9FE238F0684440
8117209,1438,3250450,Shared room,,New York,Queens,Long Island City,4,5.0,1,1.0,,40.0,,Location Kali and Dilva,Apartment,2017-07-15 21:22:12.852441,40.755474,-73.91867,0101000020E61000003F74417DCB7A52C0397D3D5FB3604440
11691186,1438,47204640,Shared room,,New York,Manhattan,Hell's Kitchen,36,4.5,3,1.0,,40.0,,Shared room near Time's Square,Apartment,2017-07-15 21:22:12.844067,40.765135,-73.986556,0101000020E61000000BEBC6BB237F52C0320395F1EF614440
10142867,1438,27094216,Shared room,,New York,Manhattan,Roosevelt Island,0,0.0,1,1.0,,36.0,,One-bed room on Roosevelt Island,Apartment,2017-07-15 21:22:12.835925,40.76645,-73.946869,0101000020E610000029266F80997C52C075029A081B624440
14522496,1438,37164757,Shared room,,New York,Queens,Woodside,5,4.0,1,1.0,,39.0,,Amazing couch near Time Square in nice apartment,Apartment,2017-07-15 21:22:12.828509,40.751981,-73.901902,0101000020E61000009C8C2AC3B87952C0501BD5E940604440
13100579,1438,35494734,Shared room,,New York,Queens,Woodside,0,0.0,1,1.0,,40.0,,"Bright, inviting shared room (2)",House,2017-07-15 21:22:11.973203,40.753023,-73.902812,0101000020E6100000ED9BFBABC77952C06211C30E63604440
746198,1438,3515868,Shared room,,New York,Brooklyn,Bushwick,2,0.0,1,1.0,,35.0,,"Couch in safe, artsy Bushwick!",Apartment,2017-07-15 21:22:11.971146,40.702752,-73.930088,0101000020E6100000BB99D18F867B52C06B990CC7F3594440
